Profile,Loan_Type,Credit_Score,Repayment_History,Business_Age,Revenue_Turnover,Profitability,Financial_Documents,GST_Compliance,Property_Security,OD_Requirement,Digital_Transactions,Eway_Bill_Volume,Tax_Status,Corporate_Authorization,Annual_Credits,Monthly_Average_Balance,Account_Utilization,Account_Age,FD_Security,Renewal_History,Debt_Burden,Credit_Engine_Score,Business_Engine_Score,Loan_Engine_Score,Risk_Penalty,Final_Score,Loan_Status,Promoter_Contribution,Project_Report,Project_Profitability,Break_Even,Supplier_Verification,Projected_Cashflow,DSCR,Debt_Equity,Asset_Life,Asset_Coverage,Regulatory_Approval,Previous_Term_Loan_History,Collateral_Value,Plant_Machinery_Investment,MSME_Category,Address_Verification,Industry_Risk,Supplier_History,Entity_KYC,Promoter_Age,Business_Registration,Udyam_Registration,CGTMSE_Eligibility,ITR_Filing,GST_Turnover,Banking_Transactions,Current_Ratio,Raw_Material_Holding,Inventory_Cycle,Debtor_Collection,Creditor_Payment,Working_Capital_Gap,Customer_Concentration,Current_Account_Vintage,Cheque_Bounce_History,Collateral,Promoter_Experience,Commercial_CIBIL,Existing_WC_Loans
4,30,2,2,2,2,2,3,3,,,,,,,,,,,,,,53.33,76.67,56.67,0,61.5,1,,,,,,,,,,,,,,3.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,
4,10,1,1,2,3,3,2,2,,,,,,,,,,,,,,28.33,83.33,50.0,-25,52.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0
6,40,2,2,2,3,2,3,3,2.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,66.67,85.0,66.67,0,72.17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,2,1,0,1,2,0,0,,,,,,,,,,,,,,48.33,25.0,28.33,-85,34.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
7,40,3,2,3,2,2,3,3,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,91.67,83.33,58.33,0,77.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,3,3,2,3,3,1,1,,,,,,,,,,,,,,86.67,73.33,70.0,0,76.83,1,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,2,2,3,2,2,3,3,,,,,,,,,,,,,,66.67,83.33,76.67,0,75.17,2,,,,,,,,,,,,,,3.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,
6,40,3,2,2,3,3,2,2,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,91.67,83.33,93.33,0,89.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,3,3,2,3,3,3,3,,,,,,,,,,,,,,100.0,93.33,86.67,0,93.33,2,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,1,1,2,0,1,2,2,,,,,,,,,,,,,,28.33,41.67,33.33,-35,34.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0
4,30,1,2,2,2,2,3,3,,,,,,,,,,,,,,28.33,76.67,68.33,-15,56.83,1,,,,,,,,,,,,,,0.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,,,,,,,,,,,,,
0,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.0,0.0,13.33,-175,4.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
5,40,3,3,1,3,3,0,0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,100.0,56.67,86.67,-40,82.34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,2,3,2,2,2,1,1,,,,,,,,,,,,,,88.33,56.67,45.0,-10,63.67,1,,,,,,,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,,,,,,,,,,,,,
3,30,0,0,1,2,2,2,2,,,,,,,,,,,,,,0.0,60.0,51.67,-70,36.08,0,,,,,,,,,,,,,,0.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,
1,30,0,0,0,1,1,0,0,,,,,,,,,,,,,,0.0,16.67,18.33,-140,11.42,0,,,,,,,,,,,,,,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
5,40,3,3,3,1,0,3,2,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,100.0,53.33,58.33,-10,71.41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,1,0,3,3,3,3,2,,,,,,,,,,,,,,25.0,95.0,63.33,-25,59.42,0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,3,3,3,3,3,3,2,,,,,,,,,,,,,,100.0,95.0,83.33,0,92.67,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
8,10,3,3,3,1,2,3,3,,,,,,,,,,,,,,100.0,75.0,100.0,0,92.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5,30,3,3,3,2,1,3,3,,,,,,,,,,,,,,100.0,75.0,95.0,0,90.75,2,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,
6,30,2,3,3,2,1,3,3,,,,,,,,,,,,,,75.0,75.0,91.67,0,80.83,2,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,
6,10,2,3,3,2,2,3,3,,,,,,,,,,,,,,80.0,83.33,76.67,0,79.83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0
1,10,2,2,0,0,0,1,1,,,,,,,,,,,,,,66.67,10.0,40.0,-40,40.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0
4,20,3,3,2,3,3,2,2,,,,,,,,,,,,,,100.0,83.33,76.67,0,86.83,2,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,2,2,2,2,2,3,3,,,,,,,,,,,,,,80.0,76.67,68.33,0,74.92,1,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,2,3,2,3,2,3,3,,,,,,,,,,,,,,88.33,85.0,76.67,0,83.25,2,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,
3,30,2,2,3,2,2,3,3,,,,,,,,,,,,,,66.67,83.33,88.33,0,79.25,2,,,,,,,,,,,,,,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,
4,10,0,0,3,0,0,3,3,,,,,,,,,,,,,,5.0,50.0,56.67,-90,36.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0
7,10,2,2,3,2,2,3,3,,,,,,,,,,,,,,66.67,83.33,85.0,0,78.08,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0
9,30,3,3,3,3,3,2,1,,,,,,,,,,,,,,100.0,85.0,71.67,0,85.58,2,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,,,,,,,,,,,,,
4,30,0,0,2,3,3,2,3,,,,,,,,,,,,,,0.0,88.33,65.0,-70,49.25,0,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,,,,,,,,,,,,,
9,20,3,3,2,3,3,2,1,,,,,,,,,,,,,,86.67,78.33,61.67,0,75.42,1,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,2,2,0,1,1,0,0,,,,,,,,,,,,,,80.0,16.67,31.67,-60,44.09,0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,3,3,2,2,2,2,3,,,,,,,,,,,,,,86.67,71.67,80.0,0,79.84,1,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,3,2,3,3,3,3,3,,,,,,,,,,,,,,81.67,100.0,96.67,0,92.42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0
5,30,1,2,2,2,2,2,2,,,,,,,,,,,,,,28.33,66.67,61.67,-15,51.5,0,,,,,,,,,,,,,,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,,,,,,,,,,,,,
5,20,3,3,3,3,2,3,3,,,,,,,,,,,,,,100.0,91.67,95.0,0,95.75,2,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,2,2,3,1,0,3,3,,,,,,,,,,,,,,75.0,58.33,70.0,-10,68.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0
4,30,2,3,0,2,3,1,1,,,,,,,,,,,,,,61.67,51.67,25.0,-20,45.84,0,,,,,,,,,,,,,,0.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
5,10,1,0,1,2,2,1,1,,,,,,,,,,,,,,16.67,50.0,48.33,-40,37.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0
5,20,3,3,3,2,1,3,3,,,,,,,,,,,,,,86.67,75.0,60.0,0,73.83,1,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,40,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,100.0,0.0,45.0,-80,50.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,3,3,3,2,2,3,3,,,,,,,,,,,,,,100.0,83.33,71.67,0,85.08,2,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,2,3,0,0,0,1,1,,,,,,,,,,,,,,61.67,10.0,23.33,-50,32.75,0,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
2,20,1,0,3,2,2,2,2,,,,,,,,,,,,,,25.0,73.33,61.67,-25,52.33,0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,1,0,1,0,0,0,0,,,,,,,,,,,,,,25.0,6.67,26.67,-85,20.09,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,3,3,2,2,2,2,2,,,,,,,,,,,,,,100.0,66.67,86.67,0,85.34,2,0.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,40,3,2,3,3,3,3,3,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,78.33,100.0,88.33,0,88.33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,2,1,3,3,3,3,3,,,,,,,,,,,,,,58.33,100.0,76.67,0,77.25,1,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,2,2,1,1,0,1,0,,,,,,,,,,,,,,66.67,20.0,26.67,-40,38.67,0,,,,,,,,,,,,,,1.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,
1,40,1,0,0,2,2,0,0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,25.0,33.33,30.0,-85,29.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,1,0,3,2,2,2,3,,,,,,,,,,,,,,25.0,78.33,53.33,-35,50.91,0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30,2,3,2,2,2,3,3,,,,,,,,,,,,,,75.0,76.67,76.67,0,76.09,2,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,
8,10,2,2,3,3,3,3,3,,,,,,,,,,,,,,71.67,100.0,95.0,0,88.33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0
4,20,2,2,1,1,0,2,2,,,,,,,,,,,,,,80.0,35.0,36.67,-10,51.33,0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40,2,1,3,2,2,3,3,1.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,45.0,83.33,80.0,0,68.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,40,3,3,3,3,3,3,3,1.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,100.0,100.0,85.0,0,94.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,3,3,2,3,2,1,1,,,,,,,,,,,,,,100.0,65.0,93.33,0,87.17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
9,40,3,3,3,3,2,2,2,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,100.0,81.67,81.67,0,88.09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,0,0,1,3,3,0,1,,,,,,,,,,,,,,0.0,61.67,23.33,-105,26.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
3,40,2,3,3,2,1,3,3,1.0,2.0,1.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,61.67,75.0,86.67,0,74.42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,1,0,3,3,3,3,3,,,,,,,,,,,,,,25.0,100.0,71.67,-25,63.83,0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,1,0,2,0,0,2,2,,,,,,,,,,,,,,25.0,33.33,56.67,-45,38.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0
5,40,2,2,3,2,1,3,3,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,66.67,75.0,65.0,0,68.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,3,2,2,3,3,3,3,,,,,,,,,,,,,,91.67,93.33,96.67,0,93.92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
9,30,3,3,3,3,3,2,3,,,,,,,,,,,,,,100.0,95.0,96.67,0,97.33,2,,,,,,,,,,,,,,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,
8,30,2,2,3,0,1,3,2,,,,,,,,,,,,,,80.0,53.33,75.0,-10,70.25,1,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,
3,10,2,3,1,2,2,1,0,,,,,,,,,,,,,,80.0,45.0,53.33,-30,60.17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0
3,40,2,2,2,2,2,3,3,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,80.0,76.67,86.67,0,81.34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,0,0,1,2,2,0,0,,,,,,,,,,,,,,0.0,40.0,18.33,-145,18.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0,10,0,0,0,1,1,0,1,,,,,,,,,,,,,,8.33,21.67,16.67,-100,15.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2,40,0,1,1,1,1,0,0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,8.33,23.33,20.0,-95,16.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30,3,2,1,3,3,2,2,,,,,,,,,,,,,,91.67,76.67,66.67,0,78.42,2,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,,,,,,,,,,,,,
1,10,0,0,2,0,0,2,2,,,,,,,,,,,,,,0.0,33.33,33.33,-125,21.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
6,30,3,3,3,1,2,3,3,,,,,,,,,,,,,,100.0,75.0,90.0,0,89.0,2,,,,,,,,,,,,,,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
8,40,3,3,2,3,3,1,1,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,86.67,73.33,55.0,0,71.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,0,0,2,1,2,1,2,,,,,,,,,,,,,,0.0,53.33,68.33,-70,39.91,0,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,,,,,,,,,,,,,
4,10,3,3,2,0,0,2,2,,,,,,,,,,,,,,100.0,33.33,91.67,-20,77.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0
1,30,2,2,0,0,0,1,1,,,,,,,,,,,,,,66.67,10.0,13.33,-60,31.0,0,,,,,,,,,,,,,,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
6,20,3,2,3,2,2,3,3,,,,,,,,,,,,,,91.67,83.33,80.0,0,85.08,2,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,2,3,1,3,3,0,0,,,,,,,,,,,,,,61.67,56.67,63.33,-60,60.75,0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,2,2,3,2,2,3,2,,,,,,,,,,,,,,66.67,78.33,60.0,0,67.83,1,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,
7,20,3,3,2,2,2,2,2,,,,,,,,,,,,,,100.0,66.67,51.67,0,73.09,1,3.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,1,0,0,2,3,0,0,,,,,,,,,,,,,,11.67,41.67,6.67,-110,18.92,0,,,,,,,,,,,,,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2,40,0,0,0,1,0,0,0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,13.33,8.33,28.33,-115,17.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,3,2,1,3,3,1,1,,,,,,,,,,,,,,86.67,66.67,63.33,0,72.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0
3,40,1,0,1,1,1,0,0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,25.0,23.33,31.67,-65,26.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20,3,3,2,3,3,1,2,,,,,,,,,,,,,,100.0,78.33,91.67,0,90.58,2,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,3,3,2,1,1,1,0,,,,,,,,,,,,,,100.0,35.0,66.67,-30,68.83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0
1,10,1,2,2,1,1,2,3,,,,,,,,,,,,,,50.0,55.0,45.0,-10,49.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0
4,20,1,1,3,3,2,3,3,,,,,,,,,,,,,,33.33,91.67,73.33,-10,64.83,0,3.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,2,2,1,0,0,0,0,,,,,,,,,,,,,,66.67,6.67,53.33,-70,44.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0
2,40,2,2,2,1,1,2,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,53.33,55.0,11.67,-30,39.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,1,0,1,2,2,1,2,,,,,,,,,,,,,,25.0,55.0,46.67,-25,41.58,0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40,1,0,2,0,0,1,1,1.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25.0,23.33,15.0,-75,21.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,3,3,3,3,3,3,2,,,,,,,,,,,,,,100.0,95.0,108.33,0,100.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
7,10,2,3,3,2,1,2,1,,,,,,,,,,,,,,80.0,60.0,93.33,0,78.67,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0
5,10,3,3,3,2,2,3,3,,,,,,,,,,,,,,91.67,83.33,78.33,0,84.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0
4,20,1,1,3,2,1,3,2,,,,,,,,,,,,,,20.0,70.0,60.0,-10,49.0,0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,2,2,3,2,2,3,3,,,,,,,,,,,,,,53.33,83.33,81.67,0,72.25,1,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,2,3,3,1,1,3,3,,,,,,,,,,,,,,75.0,66.67,80.0,0,74.25,1,,,,,,,,,,,,,,3.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,
0,40,0,0,0,1,1,0,1,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.67,15.0,-110,11.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
